serial no,Name of Product,SKU,Product,Type of Product,Category,Collection,Description,HEIGHT,WIDTH,Metal Type,Grossweight,Metal Weight,Metal Price,Making Charges,Diamond shape,Diamond clarity,Diamond color,No. of Diamonds,Total Diamond Weight,Dia Amount For SI GH,Dia Amount For VVS EF,Gem Stone Type,Gemstone shape,No. of Gemstones,Total Gemstone Weight,Total Gemstone Amount,VAT For SI GH,Total Value of Product with SI GH,VAT For VVS EF,Total Value of Product with VVS EF,Size
384,RG0152C,RG0152C,RINGS,COCKTAIL,CLASSIC,Candid Celebrations:Glitz & Gold:Symmetric Splendour:Romancing Rocks,,0,0,18KT YELLOW GOLD,4.79,4.354,9031,3701,ROUND,SI,GH,40,0.36,25200,37080,RAINFOREST GREEN TOPAZ,OCTAGON,1,1.82,1638,396,39966,514,51964,12
385,RG0153A,RG0153A,RINGS,COCKTAIL,EXCLUSIVE,Candid Celebrations:Glitz & Gold:Symmetric Splendour:Romancing Rocks,,0,0,18KT YELLOW GOLD,4.58,4.306,8931,3660,ROUND,SI,GH,54,0.39,27300,40170,"BLAZING RED TOPAZ,BLAZING RED TOPAZ","OVAL,OVAL",3,0.98,3430,433,43754,562,56753,13
386,RG0153B,RG0153B,RINGS,COCKTAIL,EXCLUSIVE,Candid Celebrations:Glitz & Gold:Symmetric Splendour:Romancing Rocks,,0,0,18KT YELLOW GOLD,4.58,4.328,8977,3679,ROUND,SI,GH,54,0.39,27300,40170,"RAINFOREST GREEN TOPAZ,RAINFOREST GREEN TOPAZ","OVAL,OVAL",3,0.87,3045,430,43431,559,56430,13
387,RG0153C,RG0153C,RINGS,COCKTAIL,EXCLUSIVE,Candid Celebrations:Glitz & Gold:Symmetric Splendour:Romancing Rocks,,0,0,18KT YELLOW GOLD,4.58,4.33,8981,3680,ROUND,SI,GH,54,0.39,27300,40170,"AMETHYST,CITRINE","OVAL,OVAL",3,0.86,3010,430,43401,558,56399,13
388,RG0154A,RG0154A,RINGS,CLASSICS,CLASSIC,Candid Celebrations:Glitz & Gold:Symmetric Splendour:Romancing Rocks,,0,0,18KT YELLOW GOLD,5.29,5.128,10636,4359,ROUND,SI,GH,48,0.36,25200,37080,KASHMIR BLUE TOPAZ,OVAL,1,0.45,1575,418,42188,536,54186,13
389,RG0155A,RG0155A,RINGS,CLASSICS,CLASSIC,Candid Celebrations:Glitz & Gold:Symmetric Splendour:Romancing Rocks,,0,0,18KT YELLOW GOLD,4.94,4.814,9985,4092,ROUND,SI,GH,49,0.25,17500,25750,AMETHYST,PEAR,1,0.38,1140,327,33044,410,41377,13
390,ER1573A,ER1573A,EARRINGS,STUDS/DROPS,CLASSIC,Daily Dazzle:Romancing Rocks,,9.46,7.55,18KT YELLOW GOLD,2.4,2.278,4725,2164,ROUND,VVS,EF,32,0.17,11900,17510,PINK CORAL,OVAL CABOCHON,2,0.44,1980,208,20977,264,26643,
391,PD0500B,PD0500B,PENDANTS,CASUAL:OFFICE WEAR,CLASSIC,Daily Dazzle:Glitz & Gold:Romancing Rocks,,14.5,12.71,18KT YELLOW GOLD,1.24,1.178,2443,1119,ROUND,VVS,EF,23,0.08,5600,8240,RAINFOREST GREEN TOPAZ,OVAL,1,0.23,805,100,10067,126,12733,
392,BR0036B,BR0036B,BRACELETS,OVAL,CLASSIC,Daily Dazzle:Glitz & Gold:Symmetric Splendour,,48,58,18KT YELLOW GOLD,7.27,7.15,14830,5362,ROUND,VVS,EF,72,0.48,33600,49440,SWAROVSKI RED,ROUND,12,0.12,600,544,54936,702,70934,
393,ER1574A,ER1574A,EARRINGS,BAALIS/HUGGIES,CLASSIC,Daily Dazzle,,12.17,3.49,18KT YELLOW GOLD,3.15,3.098,6426,2633,ROUND,VVS,EF,40,0.26,18200,26780,,,0,0,0,273,27532,358,36197,
394,ER0603B,ER0603B,EARRINGS,JHUMKAS,EXCLUSIVE,Candid Celebrations:Glitz & Gold:Just Jhumkas,,29.85,13,18KT YELLOW GOLD,13.82,11.846,24570,8884,ROUND,VVS,EF,76,0.44,30800,45320,"SWAROVSKI RED,BRIGHT GOLD PEARL","ROUND,ROUND",78,9.43,4670,689,69613,834,84278,
395,ER1044B,ER1044B,EARRINGS,BAALIS/HUGGIES,CLASSIC,Daily Dazzle:Romancing Rocks,,15.4,1.8,18KT YELLOW GOLD,2.73,2.61,5413,2480,ROUND,VVS,EF,20,0.35,24500,36050,SWAROVSKI RED,ROUND,14,0.25,700,331,33424,446,45089,
396,PD0062C,PD0062C,PENDANTS,CASUAL:OFFICE WEAR,CLASSIC,Daily Dazzle:Glitz & Gold:Symmetric Splendour,,13.1,9,18KT WHITE GOLD,0.73,0.712,1477,676,ROUND,VVS,EF,20,0.09,6300,9270,,,0,0,0,85,8538,114,11537,
397,ER0062C,ER0062C,EARRINGS,STUDS/DROPS,CLASSIC,Daily Dazzle:Glitz & Gold:Symmetric Splendour,,13.1,9,18KT WHITE GOLD,2.23,2.194,4551,2084,ROUND,VVS,EF,40,0.18,12600,18540,,,0,0,0,192,19427,252,25427,
398,PD0517B,PD0517B,PENDANTS,CASUAL:OFFICE WEAR,CLASSIC,Daily Dazzle:Glitz & Gold:Symmetric Splendour,,18.3,12,18KT PINK GOLD,1.65,1.598,3314,1518,ROUND,VVS,EF,24,0.26,18200,26780,,,0,0,0,230,23262,316,31928,
399,ER1022A,ER1022A,EARRINGS,BAALIS/HUGGIES,EXCLUSIVE,Daily Dazzle:Romancing Rocks,,0,0,18KT YELLOW GOLD,17.01,15.926,33032,11944,ROUND,SI,GH,148,0.85,59500,87550,RAINFOREST GREEN TOPAZ,PRINCESS,8,4.57,9140,1136,114752,1417,143083,
400,ER1129A,ER1129A,EARRINGS,CHANDELIERS,EXCLUSIVE,Candid Celebrations:Romancing Rocks:Symmetric Splendour,,0,0,18KT YELLOW GOLD,7.58,6.398,13270,5438,ROUND,SI,GH,116,0.58,40600,59740,"RAINFOREST GREEN TOPAZ,RAINFOREST GREEN TOPAZ,BLAZING RED TOPAZ","OVAL,OCTAGON,PRINCESS",6,5.33,7206,665,67179,857,86511,
401,ER1364B,ER1364B,EARRINGS,STUDS/DROPS,CLASSIC,Floral Fantasy:Daily Dazzle:Glitz & Gold,,12.5,12.5,18KT WHITE GOLD,4.49,4.39,9105,3731,ROUND,SI,GH,128,0.5,35000,51500,,,0,0,0,478,48314,643,64979,
402,PD1273A,PD1273A,PENDANTS,FASHION,CLASSIC,Daily Dazzle:Glitz & Gold:Romancing Rocks,,13,10.5,18KT YELLOW GOLD,2.36,2.196,4555,2086,ROUND,SI,GH,20,0.14,9800,14420,RAINFOREST GREEN TOPAZ,PRINCESS,1,0.68,1360,178,17979,224,22645,
403,ER1273A,ER1273A,EARRINGS,BAALIS/HUGGIES,CLASSIC,Daily Dazzle:Glitz & Gold:Romancing Rocks,,13,10.5,18KT YELLOW GOLD,6.3,6.008,12461,5107,ROUND,SI,GH,40,0.28,19600,28840,RAINFOREST GREEN TOPAZ,PRINCESS,2,1.18,2360,395,39923,488,49256,
404,PD1245A,PD1245A,PENDANTS,FASHION,CLASSIC,Candid Celebrations:Glitz & Gold:Romancing Rocks,,23.6,12.7,18KT YELLOW GOLD,3.02,2.858,5928,2715,ROUND,SI,GH,30,0.25,17500,25750,RAINFOREST GREEN TOPAZ,PRINCESS,1,0.56,1120,273,27536,355,35868,
405,ER1245A,ER1245A,EARRINGS,STUDS/DROPS,CLASSIC,Daily Dazzle:Glitz & Gold:Romancing Rocks,,12.7,12.7,18KT YELLOW GOLD,5.3,4.994,10358,4245,ROUND,SI,GH,32,0.39,27300,40170,RAINFOREST GREEN TOPAZ,PRINCESS,2,1.14,2280,442,44625,571,57624,
406,PD1256A,PD1256A,PENDANTS,FASHION,EXCLUSIVE,Candid Celebrations:Glitz & Gold:Romancing Rocks,,26.5,8.5,18KT YELLOW GOLD,2.56,2.396,4970,2276,ROUND,SI,GH,37,0.35,24500,36050,"AMETHYST,CITRINE","OVAL,PEAR",2,0.47,1505,333,33584,448,45249,
407,ER1256A,ER1256A,EARRINGS,STUDS/DROPS,EXCLUSIVE,Daily Dazzle:Drops & Domes:Glitz & Gold:Romancing Rocks,,26.5,8.5,18KT YELLOW GOLD,6.24,5.868,12171,4988,ROUND,SI,GH,74,0.71,49700,73130,"AMETHYST,CITRINE","OVAL,PEAR",4,1.15,3660,705,71224,939,94888,
408,PD1518A,PD1518A,PENDANTS,FLORAL:FASHION,CLASSIC,Candid Celebrations:Glitz & Gold:Floral Fantasy,,29.18,13.97,18KT PINK GOLD,2.64,2.574,5339,2445,ROUND,SI,GH,32,0.33,23100,33990,,,0,0,0,309,31193,418,42192,
409,ER1518A,ER1518A,EARRINGS,CHANDELIERS,EXCLUSIVE,Candid Celebrations:Floral Fantasy:Glitz & Gold,,20.7,9.27,18KT PINK GOLD,4.81,4.716,9781,4009,ROUND,SI,GH,56,0.47,32900,48410,,,0,0,0,467,47157,622,62822,
410,PD1526A,PD1526A,PENDANTS,FLORAL:FASHION,EXCLUSIVE,Candid Celebrations:Glitz & Gold,,36.58,24.51,18KT PINK GOLD,5.53,5.46,11325,4641,ROUND,SI,GH,84,0.35,24500,36050,,,0,0,0,405,40871,520,52536,
411,ER1526A,ER1526A,EARRINGS,CHANDELIERS,EXCLUSIVE,Candid Celebrations:Floral Fantasy:Glitz & Gold,,29.06,13.45,18KT PINK GOLD,6.39,6.324,13117,5375,ROUND,SI,GH,70,0.33,23100,33990,,,0,0,0,416,42008,525,53007,
412,PD1329A,PD1329A,PENDANTS,FASHION,CLASSIC,Candid Celebrations:Glitz & Gold,,41.78,24.66,18KT YELLOW GOLD,5.828,5.636,11690,4791,ROUND,SI,GH,66,0.96,67200,98880,,,0,0,0,837,84518,1154,116515,
413,ER1085A,ER1085A,EARRINGS,BAALIS/HUGGIES:CHANDELIERS:JHUMKAS,EXCLUSIVE,Candid Celebrations:Glitz & Gold:Just Jhumkas:Symmetric Splendour,,64.6,12.4,18KT YELLOW GOLD,17.36,16.194,33588,12146,ROUND,SI,GH,60,0.6,42000,61800,"SWAROVSKI RED,CREAM PEARL","ROUND,ROUND",70,5.23,4825,926,93485,1124,113483,
414,PD0008A,PD0008A,PENDANTS,CASUAL:OFFICE WEAR,CLASSIC,Candid Celebrations:Daily Dazzle:Romancing Rocks,,27.2,12.6,18KT YELLOW GOLD,2.067,1.747,3623,1660,ROUND,SI,GH,67,0.32,22400,32960,RAINFOREST GREEN TOPAZ,PRINCESS,1,1.28,1280,290,29253,395,39918,
415,ER0231A,ER0231A,EARRINGS,STUDS/DROPS,EXCLUSIVE,Daily Dazzle:Glitz & Gold:Romancing Rocks:Symmetric Splendour,,12,12.15,18KT YELLOW GOLD,5.436,5.016,10404,4264,ROUND,SI,GH,52,0.27,18900,27810,BLUE TOPAZ,ROUND,2,1.83,3660,372,37600,461,46599,
416,ER1203A,ER1203A,EARRINGS,STUDS/DROPS,EXCLUSIVE,Candid Celebrations:Drops & Domes:Floral Fantasy:Romancing Rocks,,27.2,16.5,18KT YELLOW GOLD,8.57,4.774,9902,4058,ROUND,SI,GH,20,0.14,9800,14420,"PINK CORAL,CREAM PEARL","PEAR CABOCHON,ROUND",12,18.84,8501,323,32584,369,37250,
417,PD1468A,PD1468A,PENDANTS,FASHION,EXCLUSIVE,Irresistible Illusions,,31,17,18KT YELLOW GOLD,4.092,3.976,8247,3380,ROUND,SI,GH,108,0.58,40600,59740,,,0,0,0,522,52749,714,72081,
418,ER1079A,ER1079A,EARRINGS,BAALIS/HUGGIES:CHANDELIERS:JHUMKAS,EXCLUSIVE,Candid Celebrations:Glitz & Gold:Just Jhumkas,,60,16.5,18KT YELLOW GOLD,28.011,25.183,52232,18887,ROUND,SI,GH,84,0.62,43400,63860,"SWAROVSKI RED,CREAM PEARL,CREAM PEARL","ROUND,ROUND,ROUND",84,13.52,6386,1209,122114,1414,142779,
419,ER0546A,ER0546A,EARRINGS,STUDS/DROPS:JHUMKAS,CLASSIC,Daily Dazzle:Drops & Domes:Glitz & Gold:Just Jhumkas,,27.4,11.06,18KT YELLOW GOLD,9.83,8.242,17095,6182,ROUND,SI,GH,78,0.65,45500,66950,CREAM PEARL,ROUND,2,7.29,911,697,70385,911,92049,
420,BR0013A,BR0013A,BRACELETS,OVAL,CLASSIC,Candid Celebrations:Glitz & Gold,,45,55,18KT YELLOW GOLD,11.4,11.298,23433,8474,ROUND,SI,GH,90,0.51,35700,52530,,,0,0,0,676,68283,844,85281,
421,BR0009A,BR0009A,BRACELETS,TENNIS,EXCLUSIVE,Candid Celebrations:Symmetric Splendour,,0,0,18KT YELLOW GOLD,8.51,8.24,17091,6180,ROUND,SI,GH,198,0.67,46900,69010,SWAROVSKI GREEN,ROUND,55,0.68,2750,729,73650,950,95981,
422,BR0004A,BR0004A,BRACELETS,TENNIS,EXCLUSIVE,Daily Dazzle:Glitz & Gold:Romancing Rocks:Symmetric Splendour,,0,0,18KT YELLOW GOLD,8.79,8.038,16672,6028,ROUND,SI,GH,140,0.64,44800,65920,RAINFOREST GREEN TOPAZ,OVAL,7,3.12,4680,722,72902,933,94233,
423,BR0008A,BR0008A,BRACELETS,TENNIS,EXCLUSIVE,Candid Celebrations:Daily Dazzle,,0,0,18KT YELLOW GOLD,9.86,9.696,20110,7272,ROUND,SI,GH,77,0.38,26600,39140,SWAROVSKI RED,ROUND,77,0.44,3850,578,58410,704,71076,
424,RG0106A,RG0106A,RINGS,BAND:ENGAGEMENT:WEDDING,CLASSIC,Daily Dazzle:Glitz & Gold,,0,0,18KT YELLOW GOLD,4.64,4.6,9541,3910,ROUND,SI,GH,19,0.2,14000,20600,,,0,0,0,275,27726,341,34392,12
425,PD1277A,PD1277A,PENDANTS,CASUAL:OFFICE WEAR,CLASSIC,Candid Celebrations:Daily Dazzle:Glitz & Gold,,13.52,9.02,18KT YELLOW GOLD,1.46,1.408,2920,1338,ROUND,SI,GH,31,0.26,18200,26780,,,0,0,0,225,22683,310,31348,
426,ER1105A,ER1105A,EARRINGS,BAALIS/HUGGIES:CHANDELIERS,CLASSIC,Candid Celebrations:Drops & Domes:Romancing Rocks,,43,10,18KT YELLOW GOLD,6.58,3.308,6861,2812,ROUND,SI,GH,74,0.52,36400,53560,"AMETHYST,CREAM PEARL","PEAR,ROUND",4,15.84,4849,509,51431,681,68763,
427,ER0606A,ER0606A,EARRINGS,BAALIS/HUGGIES,EXCLUSIVE,Candid Celebrations:Drops & Domes,,29,2.1,18KT YELLOW GOLD,6.56,6.38,13233,5423,ROUND,SI,GH,104,0.35,24500,36050,RHODOLITE,PEAR,2,0.55,1650,448,45254,564,56920,
428,ER1498A,ER1498A,EARRINGS,STUDS/DROPS,CLASSIC,Candid Celebrations:Daily Dazzle:Floral Fantasy:Glitz & Gold:Irresistible Illusions,,12.5,12.5,18KT YELLOW GOLD,3.38,3.294,6832,2800,ROUND,SI,GH,58,0.43,30100,44290,,,0,0,0,397,40129,539,54461,
429,ER0193A,ER0193A,EARRINGS,BAALIS/HUGGIES,EXCLUSIVE,Candid Celebrations:Romancing Rocks,,20.2,10.5,18KT YELLOW GOLD,9.18,7.87,16323,5902,ROUND,SI,GH,98,0.57,39900,58710,RAINFOREST GREEN TOPAZ,ROUND,20,5.98,5980,681,68786,869,87784,
430,ER1050A,ER1050A,EARRINGS,STUDS/DROPS:CHANDELIERS,EXCLUSIVE,Candid Celebrations:Floral Fantasy:Romancing Rocks,,32.7,14.6,18KT YELLOW GOLD,6.82,4.928,10221,4189,ROUND,SI,GH,34,0.33,23100,33990,BLUE TOPAZ,CUSHION,2,9.13,8674,462,46646,571,57645,
431,ER1494A,ER1494A,EARRINGS,STUDS/DROPS,EXCLUSIVE,Candid Celebrations:Daily Dazzle:Glitz & Gold:Irresistible Illusions,,12.5,12,18KT YELLOW GOLD,3.21,3.126,6484,2657,ROUND,SI,GH,58,0.42,29400,43260,,,0,0,0,385,38926,524,52925,
432,ER0272A,ER0272A,EARRINGS,STUDS/DROPS:CHANDELIERS,EXCLUSIVE,Candid Celebrations:Drops & Domes,,27.14,10,18KT YELLOW GOLD,5.87,2.834,5878,2692,"ROUND,PEAR,MARQUISE",SI,GH,8,0.91,80420,99250,BRIGHT GOLD PEARL,ROUND,2,14.27,1784,908,91682,1096,110700,
433,ER1195A,ER1195A,EARRINGS,STUDS/DROPS:CHANDELIERS:JHUMKAS,EXCLUSIVE,Candid Celebrations:Glitz & Gold:Just Jhumkas,,37.73,9.65,18KT YELLOW GOLD,8.43,7.672,15912,5754,ROUND,SI,GH,72,0.61,42700,62830,CREAM PEARL,ROUND,16,3.18,1590,660,66616,861,86947,
434,ER0260A,ER0260A,EARRINGS,STUDS/DROPS:CHANDELIERS,CLASSIC,Candid Celebrations:Daily Dazzle:Drops & Domes,,25.89,10,18KT YELLOW GOLD,5.68,2.642,5480,2510,"MARQUISE,PEAR,ROUND",SI,GH,8,0.82,72830,90000,CREAM PEARL,ROUND,2,14.37,1796,826,83442,998,100784,
435,PD1211A,PD1211A,PENDANTS,CASUAL:OFFICE WEAR,CLASSIC,Candid Celebrations:Daily Dazzle:Romancing Rocks:Symmetric Splendour,,13.6,11.9,18KT YELLOW GOLD,1.65,1.372,2846,1303,ROUND,SI,GH,24,0.1,7000,10300,RAINFOREST GREEN TOPAZ,PRINCESS,1,1.29,1290,124,12563,157,15896,
436,ER1087A,ER1087A,EARRINGS,BAALIS/HUGGIES:CHANDELIERS,EXCLUSIVE,Candid Celebrations:Irresistible Illusions:Romancing Rocks,,57.95,10.3,18KT YELLOW GOLD,14.13,11.676,24217,8757,ROUND,SI,GH,78,0.8,56000,82400,"RAINFOREST GREEN TOPAZ,RAINFOREST GREEN TOPAZ,RAINFOREST GREEN TOPAZ","ROUND,ROUND,ROUND",6,11.47,12836,1018,102828,1282,129492,
437,ER1329A,ER1329A,EARRINGS,STUDS/DROPS,CLASSIC,Candid Celebrations:Glitz & Gold,,32.56,18.94,18KT YELLOW GOLD,7.827,7.629,15823,5722,ROUND,SI,GH,108,0.99,69300,101970,,,0,0,0,908,91753,1235,124750,
438,ER1504A,ER1504A,EARRINGS,STUDS/DROPS,EXCLUSIVE,Candid Celebrations:Romancing Rocks:Symmetric Splendour,,25.06,15,18KT YELLOW GOLD,8.61,6.358,13187,5404,ROUND,SI,GH,112,0.71,49700,73130,"RAINFOREST GREEN TOPAZ,BLAZING RED TOPAZ","CUSHION,PRINCESS",4,10.55,9892,782,78965,1016,102629,
439,ER1310A,ER1310A,EARRINGS,STUDS/DROPS:CHANDELIERS,EXCLUSIVE,Candid Celebrations:Drops & Domes:Glitz & Gold:Romancing Rocks,,49.5,17.5,18KT YELLOW GOLD,13.159,10.943,22697,8207,ROUND,SI,GH,160,1.14,79800,117420,"SWAROVSKI GREEN ,CREAM PEARL","ROUND,ROUND",78,9.94,4967,1157,116828,1533,154824,
440,PD1334A,PD1334A,PENDANTS,FLORAL:FASHION,EXCLUSIVE,Candid Celebrations:Floral Fantasy:Symmetric Splendour,,30.06,20.71,18KT YELLOW GOLD,4.01,3.864,8014,3284,ROUND,SI,GH,35,0.36,25200,37080,SWAROVSKI RED,ROUND,23,0.37,1150,376,38024,495,50023,
441,ER0120A,ER0120A,EARRINGS,STUDS/DROPS:CHANDELIERS,EXCLUSIVE,Candid Celebrations:Drops & Domes:Glitz & Gold:Romancing Rocks,,48.9,14.8,18KT YELLOW GOLD,23.852,10.884,22574,8163,ROUND,SI,GH,40,0.34,23800,35020,BLACK ONYX,BRIOLETTE,2,64.5,8063,626,63226,738,74558,
442,ER0015A,ER0015A,EARRINGS,BAALIS/HUGGIES,EXCLUSIVE,Daily Dazzle:Romancing Rocks:Symmetric Splendour,,25.8,14.15,18KT YELLOW GOLD,9,7.022,14564,5266,ROUND,SI,GH,72,0.33,23100,33990,RAINFOREST GREEN TOPAZ,CUSHION,2,9.56,7648,506,51084,615,62083,
443,ER1006A,ER1006A,EARRINGS,BAALIS/HUGGIES,CLASSIC,Candid Celebrations:Drops & Domes:Romancing Rocks:Symmetric Splendour,,22.2,9,18KT YELLOW GOLD,4.8,4.348,9018,3696,ROUND,SI,GH,66,0.3,21000,30900,RAINFOREST GREEN TOPAZ,ROUND,2,1.96,3920,376,38010,475,48009,
444,ER0237A,ER0237A,EARRINGS,STUDS/DROPS,EXCLUSIVE,Daily Dazzle:Symmetric Splendour,,10.6,10.6,18KT YELLOW GOLD,3.38,3.144,6521,2672,"ROUND,PEAR",SI,GH,18,1.18,84940,117580,,,0,0,0,941,95074,1268,128041,
445,ER1181A,ER1181A,EARRINGS,STUDS/DROPS:CHANDELIERS,EXCLUSIVE,Candid Celebrations:Romancing Rocks,,39.6,11,18KT YELLOW GOLD,7.42,5.494,11395,4670,ROUND,SI,GH,6,0.17,11900,17510,"AMETHYST,AMETHYST,AMETHYST,CITRINE","PEAR,PEAR,PEAR,OCTAGON",8,9.46,12461,404,40830,460,46496,
446,ER1013A,ER1013A,EARRINGS,BAALIS/HUGGIES,EXCLUSIVE,Candid Celebrations:Drops & Domes:Romancing Rocks,,37,5.5,18KT YELLOW GOLD,10.17,9.618,19949,7214,ROUND,SI,GH,58,0.68,47600,70040,"BLAZING RED TOPAZ,RAINFOREST GREEN TOPAZ,RAINFOREST GREEN TOPAZ","PRINCESS,ROUND,PEAR",6,2.08,5110,799,80672,1023,103336,
447,ER1037A,ER1037A,EARRINGS,BAALIS/HUGGIES,EXCLUSIVE,Candid Celebrations:Drops & Domes:Romancing Rocks,,32,16.7,18KT YELLOW GOLD,12.75,12.468,25860,9351,ROUND,SI,GH,160,0.79,55300,81370,SWAROVSKI RED,ROUND,44,0.62,2200,927,93638,1188,119969,
448,ER1052A,ER1052A,EARRINGS,BAALIS/HUGGIES,EXCLUSIVE,Candid Celebrations:Drops & Domes:Romancing Rocks,,27,11.3,18KT YELLOW GOLD,7.42,6.85,14208,5822,ROUND,SI,GH,58,0.46,32200,47380,"RAINFOREST GREEN TOPAZ,SWAROVSKI RED","ROUND,ROUND",56,2.39,6660,589,59479,741,74811,
449,ER1501A,ER1501A,EARRINGS,STUDS/DROPS:CHANDELIERS,EXCLUSIVE,Candid Celebrations:Romancing Rocks,,42.5,11.3,18KT YELLOW GOLD,7.51,5.06,10495,4301,ROUND,SI,GH,6,0.19,13300,19570,"AMETHYST,AMETHYST,AMETHYST,BLUE TOPAZ","PEAR,PEAR,PEAR,CUSHION",8,12.06,14998,431,43525,494,49858,
450,RG0030A,RG0030A,RINGS,CLASSICS:COCKTAIL,EXCLUSIVE,Candid Celebrations:Romancing Rocks,,24.3,0,18KT YELLOW GOLD,4.75,4.484,9300,3811,ROUND,SI,GH,23,0.27,18900,27810,KASHMIR BLUE TOPAZ,ROUND,1,1.06,2120,341,34472,430,43471,12
451,ER1432A,ER1432A,EARRINGS,STUDS/DROPS:CHANDELIERS,CLASSIC,Candid Celebrations:Drops & Domes:Glitz & Gold,,39.4,15.4,18KT YELLOW GOLD,8.94,8.808,18269,6606,ROUND,SI,GH,132,0.66,46200,67980,,,0,0,0,711,71786,929,93784,
452,ER0239A,ER0239A,EARRINGS,STUDS/DROPS,EXCLUSIVE,Candid Celebrations:Drops & Domes:Romancing Rocks:Symmetric Splendour,,17.29,7.7,18KT YELLOW GOLD,2.8,2.498,5181,2373,"ROUND,PEAR,MARQUISE",SI,GH,12,0.73,52990,69050,AMETHYST,PEAR,2,0.78,2340,629,63513,789,79733,
453,PD1330A,PD1330A,PENDANTS,FASHION,EXCLUSIVE,Candid Celebrations:Daily Dazzle:Romancing Rocks,,24.69,14.79,18KT YELLOW GOLD,2.74,2.55,5289,2422,ROUND,SI,GH,66,0.4,28000,41200,BLUE TOPAZ,OVAL,1,0.55,1925,376,38012,508,51344,
454,PD1229A,PD1229A,PENDANTS,FASHION,CLASSIC,Candid Celebrations:Drops & Domes:Glitz & Gold,,39,8.5,18KT YELLOW GOLD,3.3,2.924,6065,2778,ROUND,SI,GH,34,0.36,25200,37080,CREAM PEARL,ROUND,1,1.52,228,343,34614,462,46613,
455,PD1284A,PD1284A,PENDANTS,FASHION,EXCLUSIVE,Black Beauty:Candid Celebrations:Daily Dazzle,,21.32,8.98,18KT YELLOW GOLD,3,2.802,5812,2662,ROUND,SI,GH,42,0.31,21700,31930,BLACK SPINEL,ROUND,68,0.68,3400,336,33910,438,44242,
456,ER0029A,ER0029A,EARRINGS,STUDS/DROPS,CLASSIC,Daily Dazzle:Floral Fantasy:Glitz & Gold:Symmetric Splendour,,9.3,8.7,18KT YELLOW GOLD,3.39,3.282,6807,2790,ROUND,SI,GH,74,0.54,37800,55620,,,0,0,0,474,47871,652,65869,
457,ER0217A,ER0217A,EARRINGS,STUDS/DROPS,CLASSIC,Daily Dazzle:Floral Fantasy:Glitz & Gold:Symmetric Splendour,,10,10,18KT YELLOW GOLD,3.26,3.144,6521,2672,ROUND,SI,GH,14,0.58,40600,59740,,,0,0,0,498,50291,689,69622,
458,ER0117A,ER0117A,EARRINGS,BAALIS/HUGGIES:CHANDELIERS,EXCLUSIVE,Candid Celebrations:Drops & Domes:Romancing Rocks,,58,14.6,18KT YELLOW GOLD,8.86,8.374,17368,6280,ROUND,SI,GH,68,1.12,78400,115360,BLACK SPINEL,ROUND,98,1.31,4900,1069,108017,1439,145347,
459,ER0020A,ER0020A,EARRINGS,BAALIS/HUGGIES,EXCLUSIVE,Daily Dazzle:Romancing Rocks:Symmetric Splendour,,15.8,11.2,18KT YELLOW GOLD,7.02,6.276,13017,5335,ROUND,SI,GH,28,0.15,10500,15450,"BLAZING RED TOPAZ,BLAZING RED TOPAZ","PRINCESS,PRINCESS",4,3.57,4730,336,33918,385,38917,
460,ER0262A,ER0262A,EARRINGS,STUDS/DROPS,EXCLUSIVE,Daily Dazzle:Drops & Domes,,20.45,10,18KT YELLOW GOLD,5.02,2.014,4177,1913,"MARQUISE,PEAR",SI,GH,6,0.71,66515,78400,CREAM PEARL,ROUND,2,14.32,1790,744,75139,863,87143,
461,ER1251A,ER1251A,EARRINGS,STUDS/DROPS,CLASSIC,Black Beauty:Candid Celebrations:Daily Dazzle,,13.5,9.6,18KT YELLOW GOLD,3.96,3.786,7853,3218,ROUND,SI,GH,94,0.4,28000,41200,BLACK SPINEL,ROUND,48,0.47,2400,415,41886,547,55218,
462,PD1475A,PD1475A,PENDANTS,FLORAL:FASHION,EXCLUSIVE,Candid Celebrations:Daily Dazzle:Floral Fantasy:Glitz & Gold,,36.19,24.86,18KT YELLOW GOLD,7.86,7.534,15626,5650,ROUND,SI,GH,70,0.56,39200,57680,CREAM PEARL,BUTTON,1,1.07,268,607,61351,792,80016,
463,ER1304A,ER1304A,EARRINGS,BAALIS/HUGGIES,CLASSIC,Candid Celebrations:Romancing Rocks,,14,10,18KT YELLOW GOLD,5.54,5.244,10877,4457,ROUND,SI,GH,112,0.65,45500,66950,CITRINE,OVAL,2,0.83,2905,637,64376,852,86041,
464,ER1156A,ER1156A,EARRINGS,STUDS/DROPS:CHANDELIERS,CLASSIC,Candid Celebrations:Daily Dazzle:Glitz & Gold:Irresistible Illusions:Romancing Rocks,,33.9,8.6,18KT YELLOW GOLD,4.45,4.262,8840,3623,ROUND,SI,GH,22,0.21,14700,21630,RHODOLITE,ROUND,2,0.73,2190,294,29647,363,36646,
465,ER1284A,ER1284A,EARRINGS,STUDS/DROPS,EXCLUSIVE,Black Beauty:Candid Celebrations:Daily Dazzle,,21.2,9,18KT YELLOW GOLD,7.29,6.902,14315,5867,ROUND,SI,GH,84,0.6,42000,61800,BLACK SPINEL,ROUND,136,1.34,6800,690,69672,888,89670,
